,Position 0.0 mm,Position 1.0 mm,Position 2.0 mm,Position 3.0 mm,Position 4.0 mm,Position 5.0 mm,Position 6.0 mm,Position 7.0 mm,Position 8.0 mm,Position 9.0 mm,Position 10.0 mm,Position 11.0 mm,Position 12.0 mm,Position 13.0 mm,Position 14.0 mm,Position 15.0 mm,Position 16.0 mm,Position 17.0 mm,Position 18.0 mm,Position 19.0 mm,Position 20.0 mm,Position 21.0 mm,Position 22.0 mm,Position 23.0 mm,Position 24.0 mm,Position 25.0 mm,Position 26.0 mm
0,1000.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00
1,1000.00,272.50,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,22.50,0.00
2,1000.00,393.75,90.62,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,28.12,18.75,0.00
3,1000.00,469.53,151.25,45.16,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.53,26.25,16.41,0.00
4,1000.00,522.58,204.30,67.89,33.79,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.88,28.83,24.61,14.77,0.00
5,1000.00,562.36,249.77,93.47,41.37,30.95,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.97,29.65,28.04,23.20,13.54,0.00
6,1000.00,593.62,288.84,119.52,51.79,33.32,30.24,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.99,29.90,29.33,27.23,21.99,12.57,0.00
7,1000.00,619.02,322.71,144.92,64.10,37.16,30.95,30.06,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.97,29.78,28.95,26.45,20.95,11.78,0.00
8,1000.00,640.19,352.34,169.16,77.57,42.34,32.28,30.27,30.01,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.99,29.93,29.62,28.53,25.70,20.03,11.13,0.00
9,1000.00,658.18,378.50,192.06,91.66,48.63,34.29,30.71,30.07,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.98,29.87,29.42,28.09,24.99,19.22,10.57,0.00
10,1000.00,673.72,401.81,213.57,106.00,55.81,36.98,31.44,30.21,30.02,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.99,29.96,29.78,29.20,27.65,24.32,18.50,10.09,0.00
11,1000.00,687.31,422.73,233.74,120.35,63.65,40.30,32.52,30.47,30.06,30.01,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.99,29.92,29.68,28.96,27.21,23.70,17.85,9.67,0.00
